"","lat","lon","observed_onset_date","onset_thresh"
"1",18,76,2024-06-03,21.11086483
"2",18,78,2024-06-03,26.52172718
"3",18,80,2024-06-03,28.65240494
"4",18,82,2024-06-01,29.85842349
"5",20,76,2024-06-04,25.86437664
"6",20,78,2024-06-17,31.96824875
"7",20,80,2024-06-18,40.29803229
"8",20,82,2024-06-20,39.42442044
"9",20,84,2024-06-01,32.92757643
"10",22,76,2024-06-10,32.91485194
"11",22,78,2024-06-26,37.8100478
"12",22,80,2024-06-27,45.20273154
"13",22,82,2024-06-19,39.45823447
"14",22,84,2024-06-21,41.61224386
"15",22,86,2024-06-21,36.2360685
"16",22,88,2024-06-26,41.64523262
"17",24,76,2024-06-21,37.42688421
"18",24,78,2024-06-17,41.94923858
"19",24,80,2024-06-27,42.46671768
"20",24,82,2024-06-27,38.63483541
"21",24,84,2024-06-26,35.64330081
"22",24,86,2024-06-26,35.86248276
"23",24,88,2024-06-28,36.23365217
"24",26,76,2024-06-21,29.95592973
"25",26,78,2024-06-23,32.27714436
"26",26,80,2024-07-04,31.92379054
"27",26,82,2024-06-30,33.86225893
"28",26,84,2024-06-26,34.21565486
"29",28,78,2024-06-23,26.36131946
"30",28,80,2024-06-26,34.68650195
"31",30,78,2024-06-29,40.07421401
"32",32,76,2024-06-30,36.99470657
